numero_obra,nombre_obra,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,renglon_numero,renglon_descripcion,provincia_id,provincia_nombre,departamento_id,departamento_nombre,localidad_id,localidad_nombre
14-0006-OBR22,CAMBIO DE CUBIERTA EN PABELLÓN 8 CAB - GAEN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,11801,4.2.1-7003.2,CONST. CIVIL PRIVADA; DESCRIPCION: TECHO METALICO,163,RIO NEGRO,94131,BARILOCHE,13884,SAN CARLOS DE BARILOCHE
46/16-0035-OBR22,"BACHEO CON MEZCLA EN FRIO (incluido riego de liga); SELLADO DE GRIETAS Y FISURAS, RECONSTRUCCION DE BANQUINA CON REPOSICION PARCIAL DE MATERIAL GRANULAR. TRAMO: RIO SALADILLO – SANTIAGO DEL ESTERO",46/16,46/16 - 16° Santiago del Estero - DNV,604,604 - Dirección Nacional de Vialidad,11886,4.2.2-10008.25,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: BACHEO Y SELLADO",169,SANTIAGO DEL ESTERO,94380,LORETO,17305,VILLA SAN MARTIN
46/16-0035-OBR22,"BACHEO CON MEZCLA EN FRIO (incluido riego de liga); SELLADO DE GRIETAS Y FISURAS, RECONSTRUCCION DE BANQUINA CON REPOSICION PARCIAL DE MATERIAL GRANULAR. TRAMO: RIO SALADILLO – SANTIAGO DEL ESTERO",46/16,46/16 - 16° Santiago del Estero - DNV,604,604 - Dirección Nacional de Vialidad,11886,4.2.2-10008.25,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: BACHEO Y SELLADO",169,SANTIAGO DEL ESTERO,94553,SILIPICA,17778,ARRAGA
46/16-0035-OBR22,"BACHEO CON MEZCLA EN FRIO (incluido riego de liga); SELLADO DE GRIETAS Y FISURAS, RECONSTRUCCION DE BANQUINA CON REPOSICION PARCIAL DE MATERIAL GRANULAR. TRAMO: RIO SALADILLO – SANTIAGO DEL ESTERO",46/16,46/16 - 16° Santiago del Estero - DNV,604,604 - Dirección Nacional de Vialidad,11886,4.2.2-10008.25,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: BACHEO Y SELLADO",169,SANTIAGO DEL ESTERO,94166,CAPITAL,17167,EL ZANJON
46-0036-OBR22,RUTA NACIONAL N°9/34 – TRAMO: ROSARIO DE LA FRONTERA – LTE. SALTA/JUJUY.,46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11893,4.2.2-10008.1,"OBRAS VIALIDAD NACIONAL; TIPO: AUTOPISTAS Y AUTOVIAS, DESCRIPCION: CONSTR. 2ª CALZADA P/AUTOPISTA",164,SALTA,94490,ROSARIO DE LA FRONTERA,14331,ROSARIO DE LA FRONTERA
46-0037-OBR22,OBRA RUTA NACIONAL N°3. AUTOPISTA FIN VARIANTE LAS FLORES – INTERSECCIÓN RP N° 30,46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11867,4.2.2-10008.1,"OBRAS VIALIDAD NACIONAL; TIPO: AUTOPISTAS Y AUTOVIAS, DESCRIPCION: CONSTR. 2ª CALZADA P/AUTOPISTA",148,BUENOS AIRES,94364,LAS FLORES,6274,LAS FLORES
46/3-0038-OBR22,"OBRA: CONSTRUCCIÓN DE UMBRALES SOTERRADOS Y PROTECCIONES  RUTA NACIONAL Nº 65 – PROVINCIA DE TUCUMÁN  TRAMO: EMPALME R.N. 38 / LÍMITE TUCUMÁN - CATAMARCA  SECCIÓN: RÍO COCHUNA (KM 35,7)",46/03,46/03 - 3° Tucumán - DNV,604,604 - Dirección Nacional de Vialidad,11892,4.2.2-10008.24,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: MANT. DE PUENTES/ALCANTARILLAS",171,TUCUMAN,94189,CHICLIGASTA,17940,COCHUNA
46/3-0038-OBR22,"OBRA: CONSTRUCCIÓN DE UMBRALES SOTERRADOS Y PROTECCIONES  RUTA NACIONAL Nº 65 – PROVINCIA DE TUCUMÁN  TRAMO: EMPALME R.N. 38 / LÍMITE TUCUMÁN - CATAMARCA  SECCIÓN: RÍO COCHUNA (KM 35,7)",46/03,46/03 - 3° Tucumán - DNV,604,604 - Dirección Nacional de Vialidad,11900,4.2.2-10008.24,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: MANT. DE PUENTES/ALCANTARILLAS",171,TUCUMAN,94189,CHICLIGASTA,17940,COCHUNA
46-0039-OBR22,"REPAVIMENTACIÓN AU. EZEIZA - CAÑUELAS TRAMO KM 49,4 - KM 58,856",46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11885,4.2.2-10008.17,"OBRAS VIALIDAD NACIONAL; TIPO: REHABILITACION DE RUTA, DESCRIPCION: REPAVIMENTACION",148,BUENOS AIRES,94156,CAÑUELAS,5257,CAÑUELAS
501-0004-OBR22,READECUACION DE LAS OBRAS DE EVACUACION DEL SISTEMA DE LA PICASA A LA CAÑADA DE LAS HORQUETAS,501/000,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,11899,4.2.2-7690.1,OBRA HIDRICA; DESCRIPCION: OBRA HIDRICA,148,BUENOS AIRES,94308,GENERAL VILLEGAS,6544,VILLA SABOYA
46/1-0040-OBR22,"OBRA “SISTEMA DE ILUMINACIÓN R.N. N°33 - KM 282,78 - ACC. TRES LOMAS Y 30 DE AGOSTO”",46/01,46/01 - 19° Bahía Blanca - DNV,604,604 - Dirección Nacional de Vialidad,11927,4.2.2-8181.1,INST. ALUMBRADO PUBLICO; DESCRIPCION: INST.ALUMB.PUBLICO,148,BUENOS AIRES,94576,TRENQUE LAUQUEN,7163,30 DE agosto
