procedimiento_numero,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,numero_obra,nombre_obra,ues_nombre,plazo_ejecucion_obra,plazo_ejecucion_obra_tipo,latitud_1,longitud_1,latitud_2,longitud_2
74-0050-LPU22,74/0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,13031,74-0004-OBR22,Construcción de Centro de Visitantes y Mirador en el Parque Nacional Aconquija,4369,6,4,-27.330733,-65.952087,,
501-0031-LPU22,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,13026,501-0011-OBR22,"MAS Etapa III ""CONSTRUCCIÓN Y REHABILITACIÓN DE CORREDORES URBANOS EN EL GRAN BUENOS AIRES"".",4694,10,4,-34.52812,-58.473816,,
501-0033-LPU22,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,13033,501-0012-OBR22,ANLIS DR. CARLOS MALBRÁN,4694,365,2,-34.61442,-58.432198,,
501-0011-LPU22,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,13028,501-0013-OBR22,IMPERMEABILIZACIÓN Y TRATAMIENTO DE FACHADAS - HOSPITAL DE PEDIATRÍA PROF. DR. JUAN P. GARRAHAN,4694,6,4,-34.630838,-58.395537,,
74-0045-LPU22,74/0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,13051,74-0005-OBR22,Refacción y refuncionalizacion Centro de Visitantes en el Parque Nacional El Palmar,4369,5,4,-31.867395,-58.208655,,
74-0018-LPU22,74/0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,13050,74-0006-OBR22,Construcción de 3 viviendas en la Reserva Natural San Antonio,4369,8,4,-26.093611,-54.269166,,
74-0010-LPU22,74/0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,13049,74-0007-OBR22,Construcción de 2 Viviendas en la Localidad de Comandante Andresito - PN Iguazú,4369,6,4,-25.665862,-54.055895,,
501-0031-LPU22,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,13056,501-0014-OBR22,"MAS Etapa III ""CONSTRUCCIÓN Y REHABILITACIÓN DE CORREDORES URBANOS EN EL GRAN BUENOS AIRES"".",4694,10,4,-34.52812,-58.473816,,
501-0031-LPU22,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,13055,501-0015-OBR22,"MAS Etapa III ""CONSTRUCCIÓN Y REHABILITACIÓN DE CORREDORES URBANOS EN EL GRAN BUENOS AIRES"".",4694,10,4,-34.52812,-58.473816,,
46/14-0079-LPU21,46/14,46/14 - 14° San Luis - DNV,604,604 - Dirección Nacional de Vialidad,13042,46/14-0055-OBR22,ACCESO CANALIZADO – LOCALIDAD DE SAN JERÓNIMO - OBRA DE SEGURIDAD VIAL,1872,12,4,-33.136467,-33.136467,,
74-0008-LPU22,74/0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,13061,74-0001-OBR23,Construcción de 6 (Seis) Viviendas en el Parque Nacional Ciervos de los Pantanos,4369,8,4,-34.2275,-58.898055,,
74-0054-LPU22,74/0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,13090,74-0002-OBR23,Construcción de Sistema Cloacal en el Parque Nacional Campos del Tuyu,4369,2,4,-36.40487,-56.937279,,
46-0002-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11962,46-0001-OBR23,"REPAVIMENTACIÓN R.N. N° 226, REPAVIMENTACIÓN Y RUTA SEGURA R.N. N°3. PROVINCIA DE BUENOS AIRES.",1859,18,4,-36.848,-59.8999,,
46-0164-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,13088,46-0002-OBR23,OBRAS RENOVACIÓN Y MEJORAMIENTO DEL SEÑALAMIENTO VERTICAL LATERAL Y AÉREO EN RUTAS NACIONALES VARIAS,1773,18,4,-34.392726,-58.312183,,
46-0038-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,13064,46-0003-OBR23,RUTA NACIONAL N° 136 – ENTRE RÍOS,1875,12,4,-32.989461,-58.520089,-33.077341,-58.253536
46-0054-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,13080,46-0004-OBR23,"AUTOPISTA RUTA NACIONAL N°7. ADECUACIÓN TRAVESÍA URBANA DE JUNÍN. TRAMO, Km. 258 – Km. 259,35.",1859,18,4,-34.602,-60.969,,
46/13-0206-LPU22,46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,13098,46/13-0005-OBR23,"OBRA DE CONSERVACION MEJORATIVA RUTA NACIONAL N° 25 SECCIÓN: KM. 165,22 - KM. 191,53.",1871,3,4,-43.704475,-66.877494,-43.684903,-67.177836
46-0264-LPU21,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,13095,46-0006-OBR23,OBRA: REPAVIMENTACIÓN RUTA NACIONAL N° 3 -TRAMO: CAÑUELAS - SAN MIGUEL DEL MONTE.,1859,12,4,-35.09,-58.74,,
46-0006-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,13089,46-0007-OBR23,OBRA MEJORATIVA Y DE MANTENIMIENTO SISTEMA MODULAR - RUTA NACIONAL N° 205 y RUTA NACIONAL N° 226,1859,18,4,-35.57721,-59.667382,-36.291785,-61.153615
46/17-0140-LPU22,46/17,46/17 - 17° Entre Rios - DNV,604,604 - Dirección Nacional de Vialidad,13066,46/17-0008-OBR23,"OBRA DE CONSERVACIÓN MEJORATIVA RUTA NACIONAL N° 127  (KM 228,66 a KM 260,37)",1875,6,4,-30.747751,-58.598418,-30.510228,-58.424639
46/12-0049-LPU22,46/12,46/12 - 12° Neuquen - DNV,604,604 - Dirección Nacional de Vialidad,13104,46/12-0009-OBR23,"Mantenimiento y reparación de puentes - RN 231: KM 17,12 (s/Río Pireco), KM 21,26 (s/ Río Pereyra I)",1870,6,4,-40.424559,-71.472489,,
46-0083-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,13077,46-0010-OBR23,REPAVIMENTACIÓN EN RN N° 3. TRAMO: CAÑUELAS – SAN MIGUEL DEL MONTE,1859,12,4,-35.13,-58.78,,
