procedimiento_numero,procedimiento_nombre,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,procedimiento_estado,procedimiento_objeto,procedimiento_tipo,solicitud_de_contratacion_numero,financiamiento_fuente_prev,sistema_contratacion,presupuesto_oficial_monto,pliego_condiciones_generales_numero_gedo,pliego_condiciones_particulares_numero_gedo,publicacion_contratar_fecha,publicacion_bora_fecha,publicacion_cantidad_dias,consultas_inicio_fecha,consultas_fin_fecha
46-0083-LPU22,REPAVIMENTACIÓN EN RN N° 3. TRAMO: CAÑUELAS – SAN MIGUEL DEL MONTE,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,EE-11376,Adjudicado,"REPAVIMENTACIÓN EN RN N° 3, TRAMO: CAÑUELAS - SAN MIGUEL DEL MONTE , SECCIÓN: KM. 88,00 - KM. 104,60 Y KM. 104,83 - KM. 109, PROVINCIA DE BUENOS AIRES",Licitación Pública,46-613-SCO22,,Ajuste Alzado;,919487789.3,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-41609626-APN-LYC#DNV,2022-06-06 0:01:00,2022-06-06 0:00:00,15,2022-06-06 9:00:00,2022-07-05 23:59:00
46-0048-LPU22,"PROYECTO Y CONSTRUCCIÓN PUENTE, ALCANTARILLA Y OBRAS COMPLEMENTARIAS",46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,EE-11348,Pendiente Afectación,"PROYECTO Y CONSTRUCCIÓN PUENTE, ALCANTARILLA Y OBRAS COMPLEMENTARIAS, RUTA NACIONAL N° 34, LOCALIDAD DE GARMENDIA, TRAMO: POZO HONDO - LTE. SANTIAGO DEL ESTERO / TUCUMÁN.  SECCIÓN: ACCESO EL BOBADAL (KM. 847,67) - ACCESO GARMENDIA (KM. 864,96).  PROVINCIA DE SANTIAGO DEL ESTERO",Licitación Pública,46-258-SCO22,,Unidad de medida;,344518000.85,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-30090935-APN-LYC#DNV,2022-06-06 0:01:00,2022-06-06 0:00:00,15,2022-06-06 9:00:00,2022-07-05 23:59:00
46-0072-LPU22,"OBRA DE CONSERVACIÓN MEJORATIVA: EJECUCIÓN DE RECICLADO Y CARPETA ASFÁLTICA, PROVINCIA DE LA RIOJA.",46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,EE-11369,Dejado Sin Efecto,"OBRA DE CONSERVACIÓN MEJORATIVA: EJECUCIÓN DE RECICLADO Y CARPETA ASFÁLTICA, RUTA NACIONAL N° 79, SECCIÓN: LTE SAN LUIS / LA RIOJA (KM 40,42) - BALDE EL NARANJO (KM 69,02), TRAMO: LTE SAN LUIS / LA RIOJA (KM 40,42) - ULAPES (KM 96,42), PROVINCIA DE LA RIOJA.",Licitación Pública,46-144-SCO22,,Unidad de medida;,693401716.89,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-39122825-APN-LYC#DNV,2022-06-07 0:01:00,2022-06-07 0:00:00,15,2022-06-07 9:00:00,2022-07-06 23:59:00
46-0058-LPU22,MALLA 508 - RUTA NACIONAL N° 95. PROVINCIA DEL CHACO.,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,EE-11361,Con Documento Contractual,OBRA: MALLA 508. RUTA NACIONAL N° 95. PROVINCIA DEL CHACO  TRAMO: LTE C/ SANTA FE - KM. 1078 (PROV. DEL CHACO),Licitación Pública,46-362-SCO22,,Ajuste Alzado;,4370003515.19,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-31522236-APN-LYC#DNV,2022-06-08 0:01:00,2022-06-08 0:00:00,15,2022-06-08 9:00:00,2022-07-07 23:59:00
501-0012-LPU22,PALAIS DE GLACE,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,EE-11333,Desierto,"Restauración, Puesta en Valor y Adecuación Tecnológica del interior, adaptándolo a las nuevas normativas, de las instalaciones sanitaria, contra incendios, eléctrica y de aire acondicionado y de la envolvente exterior del edificio.",Licitación Pública,501-15-SCO22,,Ajuste Alzado;,817430540.82,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-49664930-APN-DCYS#MOP,2022-06-10 0:01:00,,,2022-06-10 9:00:00,2022-08-16 17:00:00
501-0006-LPU22,Proyecto Ejecutivo de Acueducto Interprovincial Río Dulce.,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,EE-11327,Adjudicado,"Proyecto Ejecutivo de Acueducto Interprovincial Río Dulce (Los Telares – Las Arrias), Provincias de Santiago del Estero y Córdoba.",Licitación Pública,501-46-SCO22,,Unidad de medida;,59407000.0,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-41216497-APN-DCYS#MOP,2022-06-14 0:01:00,2022-06-14 0:00:00,15,2022-06-14 10:00:00,2022-07-22 16:00:00
501-0014-LPU22,LHN CCD La Escuelita - Famaillá,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,EE-11351,Dejado Sin Efecto,LHN CCD La Escuelita - Famaillá,Licitación Pública,501-26-SCO22,,Ajuste Alzado;,50673814.16,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-111953875-APN-DCYS#MOP,2022-06-24 0:01:00,2022-06-24 0:00:00,15,2022-06-24 10:00:00,2022-08-10 16:00:00
74-0009-LPU22,Construcción de 3 Viviendas en el Parque Nacional Campos del Tuyú,74/0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,EE-11399,Dejado Sin Efecto,Construcción de 2 Viviendas en el Parque Nacional Campos del Tuyu,Licitación Pública,74-236-SCO22,,Ajuste Alzado;,21042000.0,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-48723612-APN-DPR#APNAC,2022-06-28 0:01:00,2022-06-28 0:00:00,15,2022-06-28 10:00:00,2022-08-08 10:00:00
46/2-0088-LPU22,"Obra Conservación Mejorativa RNN°158 - VILLA MARIA, Prog. 153+000 - 158+500, Provincia de Córdoba",46/2,46/02 - 2° Córdoba - DNV,604,604 - Dirección Nacional de Vialidad,EE-11380,Fracasado,"Obra Conservación Mejorativa RNN°158 - Reparar calzada de travesía urbana en tres tramos: - B/N R.N.9 - VILLA MARIA (ENT.), - VILLA MARIA (ENT.) -INT.R.N.1V09 - INT.R.N.1V09 - VILLA MARIA (SAL.) Prog. 153+000 - 158+500, Provincia de Córdoba",Licitación Pública,46/2-235-SCO22,1.1,Unidad de medida;,112077000.0,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-60022134-APN-DCBA#DNV,2022-06-29 0:01:00,2022-06-29 0:00:00,15,2022-06-30 8:00:00,2022-07-20 12:00:00
46/2-0085-LPU22,"Conservación Mejorativa RNNº158, travesías urbanas de Luca, Dalmacio VS, Las Perdices y Gral. Deheza",46/2,46/02 - 2° Córdoba - DNV,604,604 - Dirección Nacional de Vialidad,EE-11377,Dejado Sin Efecto,"Conservación Mejorativa RNº158, Tramos V.M.(SAL.)-INT.RP6, INT.RP6–GRAL.DEHEZA(ENT.), GRAL.DEHEZA(ENT.)–GRAL.CABRERA(ENT.), secc. LUCA (184+000-186+000), Dalmacio V.S. (196+000-199+000), Las Perdices (211+000-214+000), Gral. Deheza (221+000-225+000). Provincia de Córdoba",Licitación Pública,46/2-218-SCO22,1.1,Unidad de medida;,96182000.0,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-58416292-APN-DCBA#DNV,2022-06-29 0:01:00,2022-06-29 0:00:00,15,2022-06-30 8:00:00,2022-07-20 12:00:00
