id_procedimiento,procedimiento_numero,id_acta_apertura,fecha_creacion,cantidad_ofertas_confirmadas,id_oferta,id_proveedor,razon_social
11323,46/13-0014-LPU22,8597,2022-03-09T11:00:00,4,26277,12098,M&G Obras Civiles S.R.L.
11323,46/13-0014-LPU22,8597,2022-03-09T11:00:00,4,26253,12168,Roberto Orlando Cuadra
11326,501-0004-LPU22,9718,2022-10-21T12:00:00,3,27405,13624,GADA S.A.
11326,501-0004-LPU22,9718,2022-10-21T12:00:00,3,27632,11496,EBBEKE SA
11326,501-0004-LPU22,9718,2022-10-21T12:00:00,3,27633,11466,SINOPEC INTERNATIONAL PETROLEUM SERVICE CORPORATION ARGENTINA S.R.L.
11327,501-0006-LPU22,9657,2022-08-04T12:00:00,2,27488,18044,Constructora J&J SAS
11327,501-0006-LPU22,9657,2022-08-04T12:00:00,2,27489,19973,V_PLADD S.A
11328,501-0007-LPU22,9674,2022-09-01T14:00:00,2,27479,11609,Consultora en Ingenier­a y T?cnica Industrial S.A.
11328,501-0007-LPU22,9674,2022-09-01T14:00:00,2,27528,18044,Constructora J&J SAS
11329,501-0008-LPU22,9678,2022-09-08T12:00:00,1,27540,18044,Constructora J&J SAS
11332,501-0011-LPU22,9639,2022-06-29T12:00:00,3,27423,18337,Mart­n Emiliano Vogt
11332,501-0011-LPU22,9639,2022-06-29T12:00:00,3,27434,17324,
11332,501-0011-LPU22,9639,2022-06-29T12:00:00,3,26365,11712,TALLER I S.R.L.
11334,46-0025-LPU22,8618,2022-05-16T12:00:00,4,26302,11690,carcereny construcciones s.a.
11334,46-0025-LPU22,8618,2022-05-16T12:00:00,4,26335,11608,Rovella Carranza S.A.
11334,46-0025-LPU22,8618,2022-05-16T12:00:00,4,26340,12267,INDUVIA S.A.
11334,46-0025-LPU22,8618,2022-05-16T12:00:00,4,26343,11504,ELECTRIFICADORA DEL VALLE S.A.
11335,46-0026-LPU22,8628,2022-06-07T12:00:00,3,26341,11608,Rovella Carranza S.A.
11335,46-0026-LPU22,8628,2022-06-07T12:00:00,3,26305,11690,carcereny construcciones s.a.
11335,46-0026-LPU22,8628,2022-06-07T12:00:00,3,26391,11525,BTU S.A.
11336,46/18-0027-LPU22,8607,2022-04-13T7:00:00,1,26298,11918,Marcelo Gabriel caravello
11337,74-0002-LPU22,8610,2022-04-26T12:00:00,3,26319,11718,ESTABLECIMEINTO METALURGICO TAPIGAR S.A.
11337,74-0002-LPU22,8610,2022-04-26T12:00:00,3,26320,11631,TEXIMCO SA
11337,74-0002-LPU22,8610,2022-04-26T12:00:00,3,26323,13822,ESLAVO S.A.
11340,46-0036-LPU22,8624,2022-05-30T10:00:00,6,26352,11918,Marcelo Gabriel caravello
11340,46-0036-LPU22,8624,2022-05-30T10:00:00,6,26349,11706,Vialmani S.A.
11340,46-0036-LPU22,8624,2022-05-30T10:00:00,6,26369,11650,TECNIPISOS S.A.
11340,46-0036-LPU22,8624,2022-05-30T10:00:00,6,26370,11500,HOMAQ S.A.
11340,46-0036-LPU22,8624,2022-05-30T10:00:00,6,26371,11878,Nelson Oscar Pecci
11340,46-0036-LPU22,8624,2022-05-30T10:00:00,6,26364,11508,PEITEL S.A.
11341,46-0037-LPU22,9638,2022-06-29T10:00:00,3,27436,12231,OIKOS SA
11341,46-0037-LPU22,9638,2022-06-29T10:00:00,3,27426,12492,SAUCEDO SRL
11341,46-0037-LPU22,9638,2022-06-29T10:00:00,3,27430,11582,Luis G. Bosch Empresa Constructora SA
11342,46-0038-LPU22,8627,2022-06-07T10:00:00,4,26378,11810,JAN DE NUL N.V.
11342,46-0038-LPU22,8627,2022-06-07T10:00:00,4,26390,11584,SISTECO SRL
11342,46-0038-LPU22,8627,2022-06-07T10:00:00,4,26384,11650,TECNIPISOS S.A.
11342,46-0038-LPU22,8627,2022-06-07T10:00:00,4,26388,11552,PETERSEN THIELE Y CRUZ S.A.
11343,46-0039-LPU22,9629,2022-06-08T12:00:00,8,26389,11836,Vidogar Construcciones S.A.
11343,46-0039-LPU22,9629,2022-06-08T12:00:00,8,26385,12026,MBH CONSTRUCCIONES SA
11343,46-0039-LPU22,9629,2022-06-08T12:00:00,8,26386,12231,OIKOS SA
11343,46-0039-LPU22,9629,2022-06-08T12:00:00,8,26380,11582,Luis G. Bosch Empresa Constructora SA
11343,46-0039-LPU22,9629,2022-06-08T12:00:00,8,26396,11608,Rovella Carranza S.A.
